ID,Reaction_ID,donor_mol_wt,donor_heavy_atom_count,donor_hetero_atom_count,donor_h_bond_acceptors,donor_h_bond_donors,donor_tpsa,donor_mol_log_p,donor_fraction_csp3,donor_rotatable_bond_count,donor_ring_count,donor_aliphatic_ring_count,donor_aromatic_ring_count,donor_specified_stereo_centers,donor_unspecified_stereo_centers,donor_oxygen_count,donor_nitrogen_count,donor_sulfur_count,donor_silicon_count,donor_halogen_count,acceptor_mol_wt,acceptor_heavy_atom_count,acceptor_hetero_atom_count,acceptor_h_bond_acceptors,acceptor_h_bond_donors,acceptor_tpsa,acceptor_mol_log_p,acceptor_fraction_csp3,acceptor_rotatable_bond_count,acceptor_ring_count,acceptor_aliphatic_ring_count,acceptor_aromatic_ring_count,acceptor_specified_stereo_centers,acceptor_unspecified_stereo_centers,acceptor_oxygen_count,acceptor_nitrogen_count,acceptor_sulfur_count,acceptor_silicon_count,acceptor_halogen_count
1332,31-614-CAS-28172097,595.673,43.0,9.0,7.0,0.0,91.37,4.8835,0.23529412,7.0,7.0,3.0,4.0,6.0,1.0,7.0,1.0,1.0,0.0,0.0,491.565,35.0,8.0,7.0,2.0,96.3,3.107,0.25925925,7.0,5.0,2.0,3.0,5.0,0.0,6.0,1.0,1.0,0.0,0.0
1333,31-013-CAS-4389262,450.553,31.0,8.0,8.0,0.0,80.29,3.4308,0.5652174,10.0,3.0,2.0,1.0,5.0,1.0,7.0,0.0,1.0,0.0,0.0,595.648,44.0,9.0,8.0,1.0,103.76,4.6268,0.25714287,11.0,6.0,2.0,4.0,5.0,0.0,8.0,1.0,0.0,0.0,0.0
1334,31-614-CAS-38021979,697.165,49.0,12.0,9.0,0.0,119.52,5.2006,0.21621622,10.0,7.0,3.0,4.0,5.0,0.0,8.0,2.0,1.0,0.0,1.0,1563.548,116.0,28.0,22.0,1.0,327.58,7.578,0.25,23.0,18.0,9.0,9.0,15.0,0.0,22.0,6.0,0.0,0.0,0.0
1335,31-013-CAS-13170869,593.701,43.0,8.0,7.0,0.0,74.3,6.17642,0.25714287,7.0,7.0,3.0,4.0,6.0,0.0,6.0,1.0,1.0,0.0,0.0,600.672,44.0,11.0,8.0,1.0,143.29,5.0364,0.3939394,15.0,5.0,2.0,3.0,5.0,0.0,7.0,4.0,0.0,0.0,0.0
1336,31-013-CAS-20623539,541.578,38.0,11.0,10.0,0.0,125.51,2.90332,0.37037036,7.0,4.0,2.0,2.0,5.0,0.0,9.0,1.0,1.0,0.0,0.0,875.017,62.0,18.0,14.0,1.0,214.35,5.8448,0.5,16.0,6.0,3.0,3.0,10.0,0.0,13.0,4.0,0.0,1.0,0.0
1337,31-013-CAS-1202577,648.938,45.0,8.0,7.0,0.0,55.38,6.6893,0.5135135,9.0,6.0,3.0,3.0,5.0,0.0,6.0,0.0,1.0,1.0,0.0,491.515,36.0,8.0,6.0,1.0,85.3,3.5087,0.2857143,8.0,5.0,2.0,3.0,5.0,0.0,6.0,1.0,0.0,0.0,1.0
1338,31-013-CAS-2162186,648.938,45.0,8.0,7.0,0.0,55.38,6.6893,0.5135135,9.0,6.0,3.0,3.0,5.0,0.0,6.0,0.0,1.0,1.0,0.0,491.515,36.0,8.0,6.0,1.0,85.3,3.5087,0.2857143,8.0,5.0,2.0,3.0,5.0,0.0,6.0,1.0,0.0,0.0,1.0
1339,31-013-CAS-10274383,723.92,51.0,11.0,9.0,0.0,108.44,7.6414,0.3,10.0,6.0,2.0,4.0,5.0,0.0,8.0,1.0,1.0,1.0,0.0,585.726,41.0,11.0,9.0,1.0,120.83,3.9159,0.5,9.0,4.0,2.0,2.0,5.0,0.0,9.0,1.0,0.0,1.0,0.0
1340,31-614-CAS-23946125,413.499,29.0,8.0,6.0,0.0,93.52,4.7195,0.3809524,7.0,3.0,1.0,2.0,5.0,0.0,4.0,3.0,1.0,0.0,0.0,1197.568,82.0,26.0,16.0,4.0,297.35,8.549,0.51785713,26.0,7.0,3.0,4.0,16.0,0.0,14.0,9.0,0.0,0.0,3.0
1341,31-013-CAS-23435466,606.704,44.0,10.0,7.0,0.0,113.83,6.6495,0.23529412,11.0,6.0,2.0,4.0,5.0,0.0,5.0,4.0,1.0,0.0,0.0,579.649,43.0,8.0,7.0,1.0,94.53,4.756,0.25714287,11.0,6.0,2.0,4.0,5.0,0.0,7.0,1.0,0.0,0.0,0.0
1342,31-614-CAS-44041095,620.72,44.0,10.0,10.0,0.0,114.43,5.4134,0.3529412,14.0,4.0,1.0,3.0,5.0,0.0,9.0,0.0,1.0,0.0,0.0,1486.63,110.0,21.0,20.0,1.0,238.04,12.672,0.26966292,32.0,14.0,4.0,10.0,15.0,0.0,20.0,1.0,0.0,0.0,0.0
1343,31-013-CAS-22452828,1088.274,77.0,20.0,17.0,0.0,226.41,8.48002,0.3859649,17.0,8.0,3.0,5.0,10.0,0.0,15.0,3.0,1.0,1.0,0.0,905.052,59.0,23.0,16.0,2.0,209.91,3.7304,0.5277778,15.0,4.0,2.0,2.0,10.0,0.0,16.0,1.0,0.0,0.0,6.0
1344,31-013-CAS-20825259,1088.274,77.0,20.0,17.0,0.0,226.41,8.48002,0.3859649,17.0,8.0,3.0,5.0,10.0,0.0,15.0,3.0,1.0,1.0,0.0,905.052,59.0,23.0,16.0,2.0,209.91,3.7304,0.5277778,15.0,4.0,2.0,2.0,10.0,0.0,16.0,1.0,0.0,0.0,6.0
1345,31-013-CAS-1583370,478.654,34.0,5.0,5.0,0.0,36.92,6.2405,0.37931034,11.0,4.0,1.0,3.0,5.0,0.0,4.0,0.0,1.0,0.0,0.0,665.764,48.0,10.0,9.0,1.0,111.6,6.0412,0.28947368,10.0,7.0,3.0,4.0,5.0,0.0,8.0,1.0,1.0,0.0,0.0
1346,31-013-CAS-10898081,601.721,43.0,9.0,8.0,0.0,91.37,5.82022,0.38235295,5.0,6.0,3.0,3.0,6.0,0.0,7.0,1.0,1.0,0.0,0.0,680.0,46.0,12.0,9.0,1.0,120.83,6.2893,0.7352941,14.0,3.0,2.0,1.0,5.0,0.0,9.0,1.0,0.0,2.0,0.0
1347,31-614-CAS-38021989,697.165,49.0,12.0,9.0,0.0,119.52,5.2006,0.21621622,10.0,7.0,3.0,4.0,5.0,0.0,8.0,2.0,1.0,0.0,1.0,2074.05,154.0,37.0,29.0,1.0,430.03,10.2345,0.24786325,31.0,24.0,12.0,12.0,20.0,0.0,29.0,8.0,0.0,0.0,0.0
1348,31-013-CAS-3522722,629.075,38.0,13.0,8.0,1.0,92.32,6.3581,0.68,5.0,3.0,2.0,1.0,5.0,0.0,7.0,1.0,1.0,1.0,3.0,1112.294,82.0,18.0,13.0,1.0,221.13,12.3236,0.359375,29.0,9.0,2.0,7.0,10.0,0.0,11.0,7.0,0.0,0.0,0.0
