Template_ID,Donor_Type,Solvent,Solvent_Component_IDs,Catalyst,Catalyst_Component_IDs,Temp_C,Time_min,has_solvent,has_catalyst,has_temp,has_time,Template_Support_Count,Alpha_Success_Count,Beta_Success_Count,Representative_Reaction_ID,Supporting_Reaction_IDs,Supporting_Sources,Condition_Recipe_Completeness,Unique_Full_Reaction_Count
CT_5752df93532568bc,trichloroacetimidate,Dichloromethane,3,Boron trifluoride etherate,7,-20.0,360.0,1,1,1,1,1,0,1,31-010-CAS-14023399,31-010-CAS-14023399,"Carbohydrate Research (2013), 377, 28-34",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,1
CT_5761d7a109125f66,trichloroacetimidate,Dichloromethane,3,Triethylamine,4,-20.0,60.0,1,1,1,1,1,1,0,31-010-CAS-16647879,31-010-CAS-16647879,"Bioconjugate Chemistry (2016), 27(12), 2886-2899",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,1
CT_58c75890b47c8901,trichloroacetimidate,Dichloromethane;Toluene,3;5,Trimethylsilyl triflate,3,25.0,60.0,1,1,1,1,1,1,0,31-010-CAS-13993703,31-010-CAS-13993703,"Journal of the American Chemical Society (2002), 124(45), 13434-13436",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,1
CT_5bdbef97b3c37cfc,trichloroacetimidate,Dichloromethane,3,Trimethylsilyl triflate,3,0.0,40.0,1,1,1,1,1,0,1,31-010-CAS-914,31-010-CAS-914,"Bioorganic & Medicinal Chemistry (2010), 18(20), 7174-7185",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,1
CT_5d0a459534b89dbd,trichloroacetimidate,Dichloromethane;Diethyl ether,3;4,Pyridine,12,25.0,60.0,1,1,1,1,1,1,0,31-010-CAS-3788570,31-010-CAS-3788570,"Journal of the American Chemical Society (2012), 134(37), 15556-15562",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,1
CT_5dad34d93645c367,trichloroacetimidate,Dichloromethane;Diethyl ether;Methanol,3;4;7,Sodium bicarbonate,8,-60.0,60.0,1,1,1,1,1,1,0,31-010-CAS-2630087,31-010-CAS-2630087,"Organic & Biomolecular Chemistry (2006), 4(7), 1328-1337",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,1
CT_5defaa8eedfc6cba,trichloroacetimidate,Dichloromethane,3,Trimethylsilyl triflate,3,25.0,720.0,1,1,1,1,1,0,1,31-010-CAS-16472070,31-010-CAS-16472070,"Proceedings of the National Academy of Sciences of the United States of America (2016), 113(41), 11561-11566",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,1
CT_5e8cf4b352dd1529,trichloroacetimidate,Dichloromethane;Diethyl ether,3;4,Trimethylsilyl triflate,3,25.0,30.0,1,1,1,1,1,1,0,31-010-CAS-16419863,31-010-CAS-16419863,"Carbohydrate Research (2016), 435, 83-96",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,1
CT_6085b164b0007a48,trichloroacetimidate,Dichloromethane,3,Trimethylsilyl triflate,3,-20.0,30.0,1,1,1,1,1,1,0,31-010-CAS-11415296,31-010-CAS-11415296,"Chemistry - A European Journal (2006), 12(34), 8664-8686",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,1
CT_64051b435b7c1725,trichloroacetimidate,Dichloromethane,3,Trimethylsilyl triflate,3,-20.0,1.2,1,1,1,1,1,0,1,31-010-CAS-19796375,31-010-CAS-19796375,"Chemistry - An Asian Journal (2019), 14(1), 223-234",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,1
CT_684b0b3af0486e83,trichloroacetimidate,Dichloromethane,3,Trimethylsilyl triflate,3,-40.0,90.0,1,1,1,1,1,0,1,31-010-CAS-22198130,31-010-CAS-22198130,"Organic Letters (2020), 22(12), 4638-4642",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,1
CT_6b503c451368e758,trichloroacetimidate,Dichloromethane,3,Trimethylsilyl triflate,3,21.0,60.0,1,1,1,1,1,0,1,31-010-CAS-23636152,31-010-CAS-23636152,"Nature Chemistry (2021), 13(5), 496-503",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,1
CT_6ce7c752fbea084a,trichloroacetimidate,Toluene;Triethylamine,5;10,Trimethylsilyl triflate,3,-30.0,60.0,1,1,1,1,1,0,1,31-010-CAS-2983674,31-010-CAS-2983674,"Tetrahedron (2010), 66(40), 8036-8046",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,1
CT_6d06f65a78d24e56,trichloroacetimidate,Dichloromethane,3,Sodium bicarbonate,8,-15.0,10.0,1,1,1,1,1,0,1,31-010-CAS-1044733,31-010-CAS-1044733,"Organic & Biomolecular Chemistry (2006), 4(2), 232-242",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,1
CT_7127caa21a558d1f,trichloroacetimidate,Dichloromethane,3,Trimethylsilyl triflate,3,-15.0,60.0,1,1,1,1,1,1,0,31-010-CAS-6929657,31-010-CAS-6929657,"Journal of Organic Chemistry (2004), 69(12), 4081-4093",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,1
CT_7261afd078c52905,trichloroacetimidate,Dichloromethane;Methanol,3;7,Boron trifluoride etherate,7,25.0,600.0,1,1,1,1,1,0,1,31-010-CAS-2508626,31-010-CAS-2508626,"Letters in Organic Chemistry (2005), 2(6), 521-523",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,1
CT_74ad556b72a164e1,trichloroacetimidate,Diethyl ether,4,Trimethylsilyl triflate,3,0.0,720.0,1,1,1,1,1,1,0,31-010-CAS-16059825,31-010-CAS-16059825,"Nature Communications (2014), 5, 5051",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,1
CT_7ce63dc8b0a3c062,trichloroacetimidate,Diethyl ether,4,"(1,1-Dimethylethyl)dimethylsilyl 1,1,1-trifluoromethanesulfonate",32,0.0,60.0,1,1,1,1,1,1,0,31-010-CAS-16586998,31-010-CAS-16586998,"Chemical Science (2013), 4(1), 468-481",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,1
CT_7fe4ed7e15e5e190,trichloroacetimidate,Dichloromethane,3,Triethylamine,4,-20.0,10.0,1,1,1,1,1,0,1,31-010-CAS-12478494,31-010-CAS-12478494,"Monatshefte fuer Chemie (2009), 140(10), 1251-1256",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,1
CT_81416461200e1054,trichloroacetimidate,Dichloromethane,3,Trimethylsilyl triflate,3,-30.0,60.0,1,1,1,1,1,0,1,31-010-CAS-12970683,31-010-CAS-12970683,"Journal of the American Chemical Society (2012), 134(37), 15556-15562",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,1
CT_86b5d1704d486459,trichloroacetimidate,Diethyl ether,4,Trimethylsilyl triflate,3,0.0,30.0,1,1,1,1,1,1,0,31-010-CAS-4942183,31-010-CAS-4942183,"Organic & Biomolecular Chemistry (2005), 3(5), 764-786",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,1
CT_8aeadcb06124e6fb,trichloroacetimidate,Dichloromethane,3,Diisopropylethylamine,31,-20.0,30.0,1,1,1,1,1,1,0,31-010-CAS-978790,31-010-CAS-978790,"Carbohydrate Research (2005), 340(3), 355-372",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,1
CT_8cc4c3a1ad357caf,trichloroacetimidate,Dichloromethane,3,Trimethylsilyl triflate,3,25.0,40.0,1,1,1,1,1,0,1,31-010-CAS-1851980,31-010-CAS-1851980,"Carbohydrate Research (2014), 383, 89-96",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,1
CT_8dc2a8a498847f43,trichloroacetimidate,Dichloromethane,3,Trimethylsilyl triflate,3,-20.0,60.0,1,1,1,1,1,0,1,31-010-CAS-13932702,31-010-CAS-13932702,"Carbohydrate Research (2009), 344(7), 856-868",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,1
